streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,description,price,priceCurrency,property-beds,property-baths,property-sqft,Acreage,Air Conditioning,Year Built,Area,Basement,Bath,Full Bathrooms,Half Bathrooms,Bedroom,Bonus Room,Breakfast,Contract Conditions,Cooling,Den,Property Details,Dining Room,Driveway,Exterior,Exterior Features,Family Room,Features,Fees,Finished Basement,Fireplace,Fireplaces,Formal Dining,Foundation,Foyer,Gallery,Game Room,Garage,Garage Spaces,Garage Type,Great Room,Heating,Heating Source,Home Features,Interior Features,Kitchen,Last Updated,Laundry Room,Date Listed,Listing ID,Living Room,Lot Size,Master Bath,Master Bedroom,Master Bedroom First Floor,Media Room,MLS® #,Model Type,Mortgage Calculator,Neighbourhood Features,N/A,Occupancy,Office/Den,Other,Ownership Type,Parking Spaces,Partial Bathroom,Pet Policy,Pool,Property Tax,Property Type,Roof,Room Details,Rooms,School District,See more details,See less details,Sewer,Square Footage,Status,Stories,Style,Subdivision,Tax Year,Total Acres,Transaction Type,Type,Utility Room,Waterfront,Waterview,Yes,Heating Fuel,Heating/Cooling,Basement Description,Basement Details,Basement Development,Basement Type,Basement Walls,Fireplace Description,Fireplace Fuel,Fireplace Location,Fireplace Type,Fireplace Y/N,Parking,Parking Description,Parking Surface,Parking Types,Garage Capacity,Garage Description,Garage/Carport,Exterior Finish,Pool Features,Pool YN,Roofing,Roofing Description,Lease,Lease Requirements,Lease Term,Architecture,Year Built Description,Year Built Source,Approx Age,Location,Ownership,Pets Allowed,Levels,SqFT Range,Inclusions,Appliances,Exclusions,Electric,Electric Available,Ensuite,Family Room Level,Floor Location,Fuel,Fuel Type,Furnace,Furnished,Gas,Gas Available,Hot Water,Interior,Interior Layout,Interior Maintenance/Repairs Paid By,Laundry,Laundry Description,Laundry Location,LaundryFeatures,Natural Gas,Number Of Fireplaces,Plumbing,Power,Power Source,Smoke Detector(s),Master Description,Br Description,2nd Br Description,3rd Br Description,4th Br Description,5th Br Description,Pantry Description,Foyer Description,Dining Description,Living Description,Kitchen Description,Sitting Description,Den Description,Family Description,Bathroom Description,Office Description,Rec Description,Breakfast Description,Workshop description,Tandem Description,Sunroom Description,Study Description,Solarium Description,Powder Room Description,Play Description,Nursery Description,Mudroom Description,Media/Ent Description,Library Description,Great Room Description,Games Description,Furnace Description,Exercise Description,Dinning Description,Common Room Description,Cold/Cant Description,Locker,Locker Description,Heating Fuels,Flooring,HVAC,Waterfront Features,Waterfront YN,Access,Access Road,Building Style,Building Type,Buildings,Bush,Carport,Construction,Construction Materials,Construction Type,Covered Parking,Direction Facing,District,Exposure,Extra Structures,Fence,Fencing,Fronting On,Frontage,Gated,Loading Dock,Loading Info,Major Area,Out Buildings,Outdoor Area,Patio,Present Structures,Rear Exposure,Road,Road Between Waterfront And Home,Site Description,Site Influence,Site Influences,Site Information,Soil,Sprinklers,Storm Sewage Drain,Association Amenities,Balcony,Acreage Range,Exterior Build,Lot Description,Lot Shape,Lock Box,Security Features,Tenant Pays,Owner Pays,Rent Includes,Assessed Fees,Association Fee Frequency,Telephone Service,TV Service,Utilities,Utilities Included,Utility Description,Waste,Water,Water Heater,Water Heater Location,Water Heating Paid By,Water Paid By,Water Purifier,Water Service,Water Softener,Water Source,Water Treatment,Water Type,Common Interest,Business Type,Commercial Type,Complex,Condo Management,Condo Name,Current Use,Disclosures/Documents,Documents On File,Dues Frequency,Electric (amps),Electric (volts),Electric Paid By,Escape Clause,Farm,Farm Type,Fee Frequency,Fee Includes,Financing,For Sale or Lease,FP Fuel,Franchise,Grade Level Entry Y/N,HOA Includes,HOA Pay Schedule,HOA Terms,Income Property,Insurance Paid By,Lease Includes,Maintenance Paid By,Management,Mobile Home Type,Nearest Town,Occupied By,Percolation Test,Possession,Present Use,Price Type,Property Sub Type,Property Subtype,Property Type Detail,Quarter,Range,Recreation,Rental Type,Residence,Restrictions,Restrictions/Covenants,Sale Rent,Sale Terms,Sale Type,SaleOrRent,Showing Instructions,Soil Test,Sub Property Type,Sub Type,Survey Available,Taxes Paid By,Terms,Title,Parking Features,Fireplace Features,Board,Foundation/Basement,Rental Equipment,Sign,Condo Management Firm,Condo Fees Include,Condo Fees Assessed Y/N,Bare Land YN,Condo Fees,Distance To High School,Drinking Water Y/N,Distance To Town,Distance To Elementary School,Community Name,Amenities,Structure,Surface Water,Utilities Available,Ensuite 4-Piece Level,Storage Room Level,Age Description,Bath 2-Piece Level,Bath 3-Piece Level,Foyer Level,Bath 4-Piece Level,Bedroom Level,Walk In Closet Level,Sewer Type,Last Change Type,Kitchen Level,Dwelling Type,Primary Bedrm Level,Assoc,Living Room Level,Recreation Room Level,Dining Room Level,Laundry Room Level,Rental Features,Assoc/Maint Fee Per,Living Area,Zoning,Architectural Style,Lot Features,Maintenance,Water/Sewer,Double,Land Features,MLS,Sub Area,Building Features,Lease Type,Municipality,Community Features,Elevator,MLS Area Minor,View,Foundation Details,SqFt Range,Building Area Source,Buyer Agent Designation,Lot Measurement,Lot Size Source,Topography,Current Financing
"5227 42 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8066412,-122.6811552,"Like NEW, it's TRUE!! This high Caliber home is literally called the MAGNUM PLUS by Moduline Industries and is well named, I must say! From the moment you step onto this property you will find love and deep care poured into every step of your tour. The rich colors, brilliant design and thought throughout will make you know you're home. Located on an oversized lot with RV gates to the brilliantly graveled rear yard with gazebo, sheds, mature trees and tall fence for privacy. The deck is gated for the safety of littles of all breeds! The gorgeous light coming from the windows will fill your soul while the central air conditioning cools your toes. (id:38686)",199000,CAD,3,2,"1,216",0.24,,,,"[""None""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open"", ""RV""]",,,[],,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2880304,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"1,216 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open"", ""RV""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2880304,,,,,,,,,,,,,,,,
"205 5 Avenue SE, Manning, AB T0H2M0",Manning,AB,T0H2M0,56.92011801,-117.62871698,"Welcome to your serene retreat in the heart of Manning, Alberta! Nestled in this charming small town, this property offers the epitome of tranquility with a hint of joyous charm. Boasting four spacious bedrooms, it's an ideal haven for families or those seeking ample space for guests. As you step into the expansive backyard, you're greeted by an oasis of greenery and space—a haven for outdoor gatherings, children's playtime, or simply basking in the peaceful ambiance. Whether it's morning coffee amidst chirping birds or evening barbecues under the vast Alberta sky, this backyard is your private sanctuary for creating cherished memories.
This home promises a haven of quietude, away from the hustle and bustle of city life. Each room invites you to unwind in comfort, with ample natural light and cozy interiors that exude warmth. Whether you're curling up with a book in the living room or preparing a delicious meal in the spacious kitchen, every corner of this home radiates a sense of contentment and relaxation.
Perfectly situated in a serene neighborhood, yet conveniently close to local amenities, this property offers the best of both worlds. Here, you can savor the tranquility of small-town living while still enjoying easy access to shops, schools, and community events.
If you're dreaming of a peaceful haven to call home, look no further. Welcome to your slice of happiness in Manning, Alberta—where quietude meets joy in perfect harmony.",180000,CAD,4,2,,0.14,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Garden""]","[""Garden""]",,"[""Single Garage Detached""]",,,,,,,,,,Yes,,,,"[""Forced Air""]",,,,,,,,,,,,,,,A2127353,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt Shingle""]",,,,,,,,,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,"[""Single Garage Detached""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Carpet"", ""Hardwood"", ""Linoleum""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Single Garage Detached""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2127353,,,,,,,,,,,,,,,,
"5213 HALLMARK CRESCENT, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8078332,-122.6918902,"Location, style, space! This home has it all, and it's looking for a new family to take ownership. Main floor offers gorgeous hardwood & tile flooring, for easy care & classic comfort. The living room is welcoming for family members & guest alike, and opens to the kitchen & dining area, which features French doors out to the deck, concrete patio (trampoline/pool pad?) and fenced yard. Three bedrooms round out the main floor, including one with a four-piece ensuite bath and walk-in closet. A fully finished basement doubles the living space, with a large family room including corner gas fireplace, 2 additional bedrooms, a spacious den, another full bathroom, laundry room, and another door out to the backyard. There is a storage shed in the yard, and electrical service from the house to the yard for your future garage. Out front is all curb appeal with a cute sundeck for relaxing & watching kids play in the strret, plus a double-wide concrete driveway. (id:38686)",249900,CAD,5,3,"2,468",0.17,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2866321,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"2,468 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2866321,,,,,,,,,,,,,,,,
"21 Milne Avenue, Rainbow Lake, AB T0H 2Y0",Rainbow Lake,AB,T0H 2Y0,58.497518,-119.411716,"Vacant serviced Residential/Commercial zoned 1.38 acre lot in the town of Rainbow Lake, you can move a mobile home onto this lot, build a house, or you can build a commercial/Industrial building and operate your business out of it. This time of the year is the perfect opportunity to develop this lot to you liking. Call today too take advantage of this low priced lot before the price goes up with more major developments in the area. ",49900,CAD,N/A,0,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2114172,,,,,,,,,,,,,N/A,Single Family,,,,,,,"[""Public Sewer""]",,,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2114172,,,,,,,,,,,,,,,,
"4912 SUNSET DRIVE, Fort Nelson - Town, BC V0C1R0",Fort Nelson - Town,BC,V0C1R0,58.811804700001,-122.6960005,"It's a great time to invest in a quality rental property. This building consists of four spacious 2-bedroom apartments, each with updated flooring and paint. There's plenty of parking and room on the lot for future expansion or garage. A short, easy walk to all amenities and a very private location are exactly what tenants desire. The building has had siding, windows, and shingles replaced in recent years. Make a smart move... (id:38686)",269000,CAD,8,4,"3,171",0.54,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open""]",,,[],,,,,,,,,,,"[""Baseboard heaters"", ""Electric""]",,,,,,,,,,,,,,,R2860881,,,,,,,,,,,,,N/A,MultiFamily,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"3,171 SQFT",,,,,,,,MultiFamily,,,,,,,,,,,,,,,,,"[""Open""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2860881,,,,,,,,,,,,,,,,
"5308 51 STREET, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8088467,-122.7012522,"This stunning home boasts an impressive size, offering unparalleled space for a growing family. Its convenient location, situated close to amenities, eliminates the hassle of walking uphill, ensuring ease of access. 29 windows scattered throughout the house flood the interiors with natural light, creating a bright and inviting atmosphere regardless of the time of day. Additionally, the screened-in porch adjacent to the kitchen provides the perfect spot for relaxed family dinners or enjoying the fresh air. The main and second floors feature elegant hardwood flooring in the common areas, laminate flooring extends throughout the remainder of the home, while cozy carpeting adds warmth to the flex and den areas of the basement. The recent upgrade of cleaning appliances in both the kitchen and laundry rooms adds ease to everyday chores. Furthermore, the inclusion of a dog door/run leading to the backyard ensures that furry family members have the freedom to come and go as they please, enhancing their quality of life (id:38686)",374000,CAD,4,3,"3,600",0.24,,,,"[""Full""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open""]",,,Yes,,,,,,,,,,,"[""Forced air"", ""Natural gas""]",,,,,,,,,,,,,,,R2859982,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt shingle"", ""Conventional""]",,,,,,[],"3,600 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2859982,,,,,,,,,,,,,,,,
"LOT 1075 NISUTLIN BAY YUKON ESTATE, Teslin, YT Y0A1B0",Teslin,YT,Y0A1B0,60.0699312,-128.7155223,"Once in a lifetime opportunity! This unique and exclusive 57 acre vacant waterfront property is located in the Southern Lakes region on Nisutlin Bay, next to the Nisutlin Delta Wildlife Refuge and connecting to Teslin Lake. There are several clearings and building sites that offer incredible views and a mix of spruce, pine and aspen forest that covers the rolling land. Accessible by road year round this location is a true Yukon paradise offering abundant wildlife, majestic scenery, boating, fishing, hiking, gardening and more! Enjoy evening campfires by the water with over 600m meters of beach access! This property is less than one kilometer from full services at the Village of Teslin and two hours south of Whitehorse. The time to buy in Yukon is now. Invest and hold for the future, build your home or business and start your dream today. (id:38686)",1900000,CAD,N/A,0,,57.00,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,,,,,,,,,,,,,,,,15260,,,,,,,,,,,,,N/A,Vacant Land,[],,,,,,[],,,,,,,,,Vacant Land,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15260,,,,,,,,,,,,,,,,
"31 ROCKY MOUNTAIN ROAD, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8433348,-122.84297278623,"Peaceful country property ready for spring construction. Natural gas, municipal water, electricity already for you to make connections when you build your dream home here. This property is just 12 minutes from downtown, and less than 2 minutes from Poplar Hills Golf Course, where you can golf all summer and enjoy a fantastic steak dinner. If you've been thinking about rural living but don't want to sacrifice on convenience, Rocky Mountain Road is the place for you. (id:38686)",40000,CAD,N/A,0,,4.25,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,,,,,,,,,,,,,,,,R2854803,,,,,,,,,,,,,N/A,Vacant Land,[],,,,,,[],,,,,,,,,Vacant Land,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2854803,,,,,,,,,,,,,,,,
"33 ROCKY MOUNTAIN ROAD, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.843467720969,-122.841919304199,"Step out your door and watch an abundance of wildlife frolicking in their natural environment. This property offers 4.25 acres to build your dream home so you can enjoy everything country life has to offer. Imagine quiet morning watching the sunrise while enjoying a cup of tea on your back deck listening to the peaceful sounds of birds singing. Truly the best of both worlds offered here, as it's just 12 minute drive from everything Fort Nelson has to offer, but it feels like a wonderful escape. (id:38686)",40000,CAD,N/A,0,,4.25,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,,,,,,,,,,,,,,,,R2854807,,,,,,,,,,,,,N/A,Vacant Land,[],,,,,,[],,,,,,,,,Vacant Land,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2854807,,,,,,,,,,,,,,,,
"27 ROCKY MOUNTAIN ROAD, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8436435481469,-122.839765847607,"Country life calls! 4.25 acres of land with RR-1 Rural Residential zoning, ready for you to bring your building plans to life. Just 12 minute drive from downtown Fort Nelson and all amenities, but with the benefits of a quiet country road and just a few neighbours. This property features the conveniences of municipal water connection and natural gas, as well as electricity, cable, and internet at the lot line. Choose your future. (id:38686)",40000,CAD,N/A,0,,4.25,,,,,,,,,,,,,,,,,[],[],,[],,,[],,,,,,,,,,,,,,,,,,,,,,,,,,R2854798,,,,,,,,,,,,,N/A,Vacant Land,[],,,,,,[],,,,,,,,,Vacant Land,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2854798,,,,,,,,,,,,,,,,
"3361 MCCONACHIE CREEK ROAD, Fort Nelson, BC V0C1R0",Fort Nelson,BC,V0C1R0,58.8971188299747,-122.735976928625,"328 acres of beautiful property - mostly treed - located only 10 minutes from town. Nestled back from the road sits a 1020 sq/ft, 3 bedroom 1 bathroom home which has seen plenty of updates. Tin roof, vinyl siding and updated windows just to name a few. The property features a 40'x26' metal workshop/barn, 8'x12' chicken coop, 40'x42' fenced garden additional outbuildings, a 200'x100'x24' deep dugout with attached 600ft creek to bring water to the back yard/pasture which has electric fence for animals. Everything you need to create the quiet, farm life that so many are now looking for. Grow a garden, have your chickens and enjoy life! You really have to take a look because the potential is huge! (id:38686)",295000,CAD,3,1,"1,020",328.39,,,,"[""None""]",,,,,,,,,,,,,"[""Vinyl siding""]","[""Vinyl siding""]",,"[""Open""]",,,[],,,,,,,,,,,"[""Forced air"", ""Propane""]",,,,,,,,,,,,,,,R2854284,,,,,,,,,,,,,N/A,Single Family,"[""Metal"", ""Conventional""]",,,,,,[],"1,020 SQFT",,,,,,,,Single Family,,,,,,,,,,,,,,,,,"[""Open""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Open""]",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R2854284,,,,,,,,,,,,,,,,
"725 7th Avenue NW, Manning, AB T0H 2M0",Manning,AB,T0H 2M0,56.92959134,-117.63820507,"Unbeatable location and beautiful curb appeal!  This property is truly a gem within the Town of Manning limits!   Pavement leads you right up to the front doorstep! As you enter the 5 bedroom and 3-bathroom home, a welcoming feeling is created.  The open floor plan with a custom-built kitchen features maple cabinets, an island, eating bar, and walk-in pantry.  The dining area leads to the heated, 4 season sunroom surrounded by large windows.  Step out onto the maintenance free back deck with mature surrounding trees to enjoy the peacefulness and privacy while having your summertime family meals or entertaining!  The large master bedroom features a full ensuite with walk-in shower, jacuzzi tub and walk-in closet.   Just a few steps up you will find two other generous sized bedrooms with large windows and main floor laundry. The fully developed cement basement with in-floor heat presents a 9 ft ceiling family room with an abundance of natural lighting from the large windows.  There are two more generous sized bedrooms, a 4-piece bathroom and plenty of storage spaces.  The home has a lot of upgrades including the security system, highspeed internet, super sucker vent system, central a/c, Hunter Douglas blinds, composite decking, under the sunroom is a cold room with a thermostat, R50 insulation and 2 inches of extra Styrofoam on the top, plus an extra panel box wired for emergency use of a generator.  Other recent updates include the dishwasher, stove, washer, dryer, and hot water tank.   As you enter the garage you will notice an appealing epoxy flooring finish, underfloor heat and two garage doors making it very easy for parking.  The yard is beautifully manicured with flowers, a garden area as well as the saskatoon and apple trees.   Outbuildings include the 32’ x 40’ pole shed with 12’ overhead door, a graveled floor, led lighting and electric outlets on every post with split boxes.  With the inflationary costs and hassles to build a home today, this turnkey real estate is truly exceptional!  Call to view!",599000,CAD,5,3,"1,726",1.85,,,,"[""Finished"", ""Full""]",,,,,,,,,,,,,"[""Garden"", ""Private Yard""]","[""Garden"", ""Private Yard""]",,"[""Double Garage Attached"", ""Off Street""]",,,,,,,,,,Yes,,,,"[""Boiler"", ""Forced Air"", ""Natural Gas""]",,,,,,,,,,,,,,,A2104682,,,,,,,,,,,,,N/A,Single Family,"[""Asphalt Shingle""]",,,,,,,"1,726 SQFT",,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,"[""Double Garage Attached"", ""Off Street""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Carpet"", ""Laminate""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Double Garage Attached"", ""Off Street""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2104682,,,,,,,,,,,,,,,,
"920 Township Road, Manning, AB T0H 2M0",Manning,AB,T0H 2M0,56.94804333,-117.57704389,"This developed acreage is in a subdivision overlooking the Notikewin River! This 7.88 acre acreage comes with a 18' x 32' cabin all finished with kitchen, Living area, laundry room and bathroom! Cabin has been moved in and is still on blocking so can be located where ever you want it! There has been power installed on the property is  and paid for, the gas and water co-op are available to the property! Only 1.5 miles NE of Manning Ab. Lots of room for your pets and hobby farm!",65000,CAD,N/A,0,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2104257,,,,,,,,,,,,,N/A,Single Family,,,,,,,,,,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2104257,,,,,,,,,,,,,,,,
"307 3rd Street SE, Manning, AB T0H 2M0",Manning,AB,T0H 2M0,56.92192738,-117.62741896,"Here is a fully serviced, vacant lot, located in a desirable location, steps to downtown Manning with a view of the Notikewin River.  It is a perfect spot to build your home or to set a modular on.  This lot has both front and back alley access.  Check it out and call me for any further questions you may have.",35000,CAD,N/A,0,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2098254,,,,,,,,,,,,,N/A,Single Family,,,,,,,,,,,,NONE,,,,Single Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2098254,,,,,,,,,,,,,,,,
